id,sku,name,slug,brand_id,category_id
275,harley_benton_sc_550_ii_bcf.htm,Harley Benton SC-550 II BCF,harley-benton-sc-550-ii-bcf-htm,18,0
276,esp_ltd_sn_1000_evertune_koa_natur.htm,ESP LTD SN-1000 Evertune Koa NT,esp-ltd-sn-1000-evertune-koa-natur-htm,79,0
277,harley_benton_ja_baritone.htm,Harley Benton JA-Baritone BK,harley-benton-ja-baritone-htm,18,0
278,harley_benton_cg_45e_vintage_sunburst.htm,Harley Benton CG-45E Vintage Sunburst,harley-benton-cg-45e-vintage-sunburst-htm,18,31
279,epiphone_les_paul_custom_ebony_588239.htm,Epiphone Les Paul Custom Ebony IGC,epiphone-les-paul-custom-ebony-588239-htm,16,0
280,prs_se_custom_24_08_quilt_lb.htm,PRS SE Custom 24-08 Quilt LB,prs-se-custom-24-08-quilt-lb-htm,11,0
281,harley_benton_sc_400_sbk_vintage_series.htm,Harley Benton SC-400 SBK Classic Series,harley-benton-sc-400-sbk-vintage-series-htm,18,0
282,harley_benton_st_20hh_active_sbk.htm,Harley Benton ST-20HH Active SBK,harley-benton-st-20hh-active-sbk-htm,18,0
283,harley_benton_ex_84_modern_emg_wh.htm,Harley Benton EX-84 Modern EMG VW,harley-benton-ex-84-modern-emg-wh-htm,18,0
284,harley_benton_agufish_custom_signature_pb.htm,Harley Benton Agufish Custom Signature PB,harley-benton-agufish-custom-signature-pb-htm,18,10
285,kramer_guitars_sm_1_vintage_candy_blue.htm,Kramer Guitars SM-1 Vintage Candy Blue,kramer-guitars-sm-1-vintage-candy-blue-htm,80,0
286,prs_se_custom_24_semi_hollow_ob.htm,PRS SE Custom 24 Semi-Hollow OB,prs-se-custom-24-semi-hollow-ob-htm,11,0
287,harley_benton_rb_612cs_classic_series.htm,Harley Benton RB-612CS Classic Series,harley-benton-rb-612cs-classic-series-htm,18,0
288,harley_benton_sc_550_ii_ftf.htm,Harley Benton SC-550 II FTF,harley-benton-sc-550-ii-ftf-htm,18,0
289,harley_benton_sc_550_ii_paf.htm,Harley Benton SC-550 II PAF,harley-benton-sc-550-ii-paf-htm,18,0
290,harley_benton_wl_20bk_rock_series.htm,Harley Benton WL-20BK Rock Series,harley-benton-wl-20bk-rock-series-htm,18,10
291,harley_benton_jb_20_ca_standard_series.htm,Harley Benton JB-20 CA Standard Series,harley-benton-jb-20-ca-standard-series-htm,18,10
292,epiphone_1960_les_paul_special_dc_tvy.htm,Epiphone 1960 Les Paul Special DC TVY,epiphone-1960-les-paul-special-dc-tvy-htm,16,0
293,harley_benton_bass_guitar_kit_j_style.htm,Harley Benton Bass Guitar Kit J-Style,harley-benton-bass-guitar-kit-j-style-htm,18,10
294,esp_ltd_sd_2_sammy_duet_black.htm,ESP LTD SD-2 Sammy Duet Black,esp-ltd-sd-2-sammy-duet-black-htm,79,0
295,harley_benton_dc_custom_612_cherry.htm,Harley Benton DC-Custom 612 Cherry,harley-benton-dc-custom-612-cherry-htm,18,0
